work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_size
2020,mid,full-time,79833,0,L
2020,senior,full-time,260000,0,S
2020,senior,full-time,109024,50,M
2020,mid,full-time,20000,0,S
2020,senior,full-time,150000,50,L
2020,entry,full-time,72000,100,L
2020,senior,full-time,190000,100,S
2020,mid,full-time,35735,50,L
2020,mid,full-time,135000,100,L
2020,senior,full-time,125000,50,S
2020,entry,full-time,51321,0,S
2020,mid,full-time,40481,0,L
2020,entry,full-time,39916,0,M
2020,mid,full-time,87000,100,L
2020,mid,full-time,85000,100,L
2020,mid,full-time,8000,50,L
2020,entry,full-time,41689,100,S
2020,senior,full-time,114047,100,S
2020,entry,full-time,5707,50,M
2020,mid,full-time,56000,100,M
2020,mid,full-time,43331,0,M
2020,mid,full-time,6072,100,L
2020,senior,full-time,47899,50,L
2020,mid,full-time,98000,0,M
2020,mid,full-time,115000,0,L
2020,executive,full-time,325000,100,L
2020,entry,full-time,42000,50,L
2020,senior,full-time,33511,0,S
2020,entry,contract,100000,100,L
2020,senior,full-time,117104,50,L
2020,mid,full-time,59303,100,S
2020,entry,full-time,70000,100,L
2020,senior,full-time,68428,100,L
2020,mid,full-time,450000,0,M
2020,mid,full-time,46759,50,L
2020,mid,full-time,74130,50,L
2020,mid,full-time,103000,100,L
2020,entry,full-time,250000,50,L
2020,entry,full-time,10000,100,S
2020,entry,full-time,138000,100,S
2020,mid,full-time,45760,100,S
2020,executive,full-time,79833,50,L
2020,mid,full-time,50180,0,M
2020,mid,full-time,106000,100,L
2020,mid,full-time,112872,50,L
2020,entry,part-time,15966,100,S
2020,mid,full-time,76958,100,S
2020,senior,full-time,188000,100,L
2020,mid,full-time,105000,100,L
2020,mid,full-time,70139,50,L
2020,entry,full-time,6072,0,S
2020,entry,full-time,91000,100,L
2020,entry,full-time,45896,50,S
2020,entry,full-time,54742,100,L
2020,senior,flexible,60000,100,S
2020,senior,full-time,148261,100,M
2020,mid,full-time,38776,100,M
2020,mid,full-time,118000,100,M
2020,senior,full-time,120000,50,L
2020,mid,full-time,138350,100,M
2020,mid,full-time,110000,100,L
2020,mid,full-time,130800,100,M
2020,entry,part-time,21669,50,S
2020,senior,full-time,412000,100,L
2020,senior,full-time,45618,100,S
2020,entry,full-time,62726,50,S
2020,entry,full-time,49268,0,S
2020,senior,full-time,190200,100,M
2020,entry,full-time,105000,100,S
2020,senior,full-time,91237,0,S
2020,mid,full-time,62726,50,S
2020,mid,full-time,42197,50,S
2021,entry,full-time,82528,50,L
2021,executive,full-time,150000,100,L
2021,executive,full-time,235000,100,L
2021,senior,full-time,53192,50,L
2021,mid,full-time,100000,100,M
2021,mid,part-time,5409,50,M
2021,mid,contract,270000,100,L
2021,entry,full-time,80000,100,M
2021,senior,full-time,79197,100,L
2021,mid,full-time,140000,100,L
2021,mid,full-time,54238,50,L
2021,mid,full-time,47282,100,S
2021,executive,full-time,153667,100,L
2021,mid,full-time,28476,100,L
2021,entry,full-time,59102,50,M
2021,mid,full-time,110000,100,L
2021,senior,full-time,170000,100,L
2021,senior,full-time,80000,100,S
2021,senior,full-time,88654,100,L
2021,entry,full-time,76833,100,S
2021,mid,full-time,19609,100,L
2021,senior,full-time,276000,0,L
2021,entry,full-time,29751,50,L
2021,mid,full-time,89294,50,L
2021,entry,part-time,12000,100,S
2021,mid,full-time,450000,100,L
2021,entry,full-time,70000,100,M
2021,mid,full-time,95746,100,S
2021,mid,full-time,75000,0,L
2021,senior,full-time,150000,100,L
2021,mid,full-time,36259,50,L
2021,mid,full-time,62000,0,L
2021,mid,full-time,73000,0,L
2021,mid,full-time,51519,50,L
2021,mid,full-time,187442,100,L
2021,senior,full-time,115000,100,S
2021,senior,full-time,150000,100,M
2021,entry,full-time,30428,100,L
2021,senior,full-time,94564,50,L
2021,senior,full-time,113476,100,M
2021,senior,full-time,103160,100,S
2021,entry,part-time,12000,100,M
2021,mid,full-time,45391,100,L
2021,entry,full-time,225000,100,L
2021,mid,full-time,50000,100,L
2021,mid,full-time,40189,100,M
2021,entry,full-time,90000,100,S
2021,mid,full-time,200000,100,L
2021,mid,full-time,60000,50,M
2021,senior,full-time,200000,100,M
2021,entry,full-time,50000,100,M
2021,entry,full-time,110037,0,L
2021,entry,part-time,10354,50,M
2021,mid,full-time,151000,100,L
2021,senior,full-time,120000,50,S
2021,mid,full-time,9466,0,S
2021,entry,full-time,20000,100,S
2021,senior,full-time,40570,50,L
2021,entry,full-time,100000,50,S
2021,entry,full-time,49646,50,M
2021,mid,full-time,38400,100,M
2021,senior,full-time,24000,100,M
2021,entry,full-time,100000,0,S
2021,mid,full-time,90000,100,M
2021,mid,full-time,63711,50,S
2021,mid,full-time,77364,50,S
2021,senior,full-time,220000,0,L
2021,entry,full-time,80000,100,M
2021,mid,full-time,135000,100,L
2021,senior,full-time,240000,0,L
2021,senior,full-time,150000,0,L
2021,mid,full-time,82500,100,S
2021,mid,full-time,100000,100,L
2021,senior,full-time,82744,50,M
2021,mid,full-time,62649,50,M
2021,mid,full-time,90000,100,L
2021,senior,full-time,153000,100,L
2021,senior,full-time,160000,100,S
2021,senior,full-time,168000,0,S
2021,mid,full-time,150000,100,M
2021,mid,full-time,75774,100,L
2021,entry,full-time,13400,100,L
2021,senior,full-time,144000,100,L
2021,senior,full-time,127221,50,L
2021,mid,full-time,119059,100,M
2021,mid,full-time,423000,50,L
2021,senior,full-time,120000,100,M
2021,entry,full-time,125000,100,S
2021,executive,full-time,230000,50,L
2021,executive,full-time,85000,0,M
2021,mid,full-time,28369,50,L
2021,entry,full-time,63831,50,L
2021,executive,full-time,130026,50,M
2021,senior,full-time,165000,100,L
2021,entry,full-time,80000,100,L
2021,executive,full-time,250000,0,L
2021,entry,full-time,55000,50,S
2021,mid,full-time,150000,100,L
2021,mid,full-time,170000,100,L
2021,mid,full-time,82528,100,L
2021,entry,full-time,60000,100,S
2021,senior,full-time,235000,100,L
2021,senior,full-time,60757,50,L
2021,senior,full-time,174000,100,L
2021,mid,full-time,2859,0,S
2021,mid,full-time,40038,100,L
2021,entry,full-time,81000,50,S
2021,mid,full-time,5679,100,S
2021,mid,full-time,22611,0,L
2021,mid,full-time,90734,50,L
2021,mid,full-time,26005,0,L
2021,senior,full-time,61896,50,L
2021,mid,flexible,12000,50,M
2021,mid,full-time,4000,100,M
2021,senior,full-time,50000,100,M
2021,executive,full-time,69741,100,S
2021,senior,full-time,76833,50,S
2021,mid,full-time,74000,50,S
2021,senior,full-time,152000,100,L
2021,entry,full-time,21844,50,M
2021,mid,full-time,18000,0,S
2021,senior,full-time,174000,100,L
2021,senior,full-time,96113,50,L
2021,mid,full-time,147000,50,L
2021,entry,full-time,9272,100,S
2021,senior,full-time,24342,100,L
2021,senior,full-time,54094,50,L
2021,entry,full-time,90000,100,S
2021,mid,full-time,61467,50,M
2021,senior,full-time,195000,100,M
2021,mid,full-time,37825,100,L
2021,senior,full-time,50000,100,S
2021,mid,full-time,160000,100,L
2021,mid,full-time,12901,0,S
2021,senior,full-time,200000,100,L
2021,senior,full-time,165000,0,M
2021,mid,flexible,20000,0,L
2021,senior,full-time,120000,0,L
2021,mid,full-time,24823,50,L
2021,mid,full-time,56738,50,S
2021,mid,full-time,66022,50,S
2021,entry,full-time,5882,0,L
2021,entry,full-time,24823,50,M
2021,senior,full-time,185000,100,L
2021,entry,part-time,28609,50,S
2021,mid,full-time,90734,50,L
2021,mid,full-time,88654,100,M
2021,senior,full-time,140000,100,L
2021,mid,full-time,46597,100,L
2021,mid,full-time,116914,50,L
2021,mid,full-time,33808,0,M
2021,mid,full-time,56256,50,L
2021,senior,full-time,225000,100,L
2021,executive,contract,416000,100,S
2021,senior,full-time,87738,100,S
2021,mid,full-time,88654,50,L
2021,senior,full-time,135000,0,L
2021,senior,full-time,71786,100,M
2021,entry,full-time,16228,100,L
2021,senior,full-time,256000,100,S
2021,senior,full-time,200000,100,L
2021,senior,full-time,200000,100,L
2021,mid,full-time,180000,100,L
2021,mid,full-time,110000,0,S
2021,mid,full-time,63810,100,M
2021,mid,full-time,46809,100,M
2021,entry,full-time,4000,0,M
2021,entry,full-time,21637,50,M
2021,senior,full-time,103691,100,L
2021,mid,full-time,80000,100,L
2021,mid,full-time,110000,100,L
2021,senior,full-time,165000,100,L
2021,entry,full-time,18053,100,S
2021,mid,full-time,72212,50,L
2021,entry,full-time,36643,50,L
2021,mid,full-time,12103,0,M
2021,senior,full-time,96282,50,L
2021,senior,full-time,170000,100,M
2021,mid,full-time,115000,50,L
2021,entry,full-time,90000,100,S
2021,executive,full-time,600000,100,L
2021,entry,full-time,28399,100,M
2021,mid,full-time,93000,100,L
2021,senior,full-time,99703,50,M
2021,mid,full-time,200000,100,L
2021,senior,full-time,173762,100,M
2021,senior,full-time,185000,50,L
2021,executive,full-time,141846,0,L
2021,mid,full-time,130000,50,L
2021,senior,full-time,63831,50,L
2021,mid,full-time,16904,100,S
2021,senior,full-time,66265,0,L
2021,mid,full-time,25532,100,S
2021,senior,full-time,160000,50,S
2021,mid,full-time,93150,0,M
2021,mid,full-time,111775,0,M
2021,mid,full-time,28016,100,M
2021,entry,full-time,65013,50,M
2021,entry,full-time,72500,100,L
2021,senior,full-time,18907,0,M
2021,entry,full-time,76833,0,L
2021,entry,full-time,85000,100,S
2021,senior,full-time,77684,50,M
2021,entry,full-time,100000,100,M
2021,entry,full-time,58000,50,L
2021,senior,full-time,55000,100,L
2021,senior,full-time,20171,50,L
2021,entry,full-time,59102,100,L
2021,mid,full-time,112000,100,L
2021,entry,full-time,100000,0,L
2021,mid,part-time,69741,100,L
2021,senior,contract,105000,100,M
2021,mid,full-time,69999,50,L
2021,senior,full-time,94665,50,L
2021,senior,full-time,102839,100,L
2021,mid,full-time,109000,50,L
2021,mid,full-time,51064,50,L
2022,senior,full-time,135000,100,M
2022,senior,full-time,155000,100,M
2022,senior,full-time,120600,100,M
2022,mid,full-time,130000,0,M
2022,mid,full-time,90000,0,M
2022,mid,full-time,170000,100,M
2022,mid,full-time,150000,100,M
2022,senior,full-time,102100,100,M
2022,senior,full-time,84900,100,M
2022,senior,full-time,136620,100,M
2022,senior,full-time,99360,100,M
2022,senior,full-time,117789,0,M
2022,senior,full-time,104702,0,M
2022,senior,full-time,146000,100,M
2022,senior,full-time,123000,100,M
2022,entry,full-time,52351,100,M
2022,senior,full-time,99000,0,M
2022,senior,full-time,116000,0,M
2022,mid,full-time,106260,0,M
2022,mid,full-time,126500,0,M
2022,executive,full-time,242000,100,M
2022,executive,full-time,200000,100,M
2022,mid,full-time,65438,0,M
2022,mid,full-time,39263,0,M
2022,mid,full-time,78526,0,M
2022,mid,full-time,52351,0,M
2022,senior,full-time,165220,100,M
2022,entry,full-time,45807,100,M
2022,senior,full-time,120160,100,M
2022,senior,full-time,90320,100,M
2022,senior,full-time,181940,0,M
2022,senior,full-time,132320,0,M
2022,senior,full-time,220110,0,M
2022,senior,full-time,160080,0,M
2022,senior,full-time,180000,0,L
2022,senior,full-time,120000,0,L
2022,senior,full-time,124190,100,M
2022,executive,full-time,130000,100,M
2022,executive,full-time,110000,100,M
2022,senior,full-time,170000,100,M
2022,mid,full-time,115500,100,M
2022,senior,full-time,112900,100,M
2022,senior,full-time,90320,100,M
2022,senior,full-time,112900,100,M
2022,senior,full-time,90320,100,M
2022,senior,full-time,165400,100,M
2022,senior,full-time,132320,100,M
2022,mid,full-time,167000,100,M
2022,senior,full-time,243900,100,M
2022,senior,full-time,136600,100,M
2022,senior,full-time,109280,100,M
2022,senior,full-time,128875,100,M
2022,senior,full-time,93700,100,M
2022,executive,full-time,224000,100,M
2022,executive,full-time,167875,100,M
2022,executive,full-time,175000,100,M
2022,senior,full-time,156600,100,M
2022,senior,full-time,108800,0,M
2022,senior,full-time,95550,0,M
2022,senior,full-time,113000,0,L
2022,senior,full-time,135000,100,M
2022,senior,full-time,161342,100,M
2022,senior,full-time,137141,100,M
2022,senior,full-time,167000,100,M
2022,senior,full-time,123000,100,M
2022,senior,full-time,78526,0,M
2022,senior,full-time,65438,0,M
2022,senior,full-time,150000,0,M
2022,senior,full-time,211500,100,M
2022,senior,full-time,192400,100,M
2022,senior,full-time,90700,100,M
2022,senior,full-time,130000,100,M
2022,senior,full-time,61300,100,M
2022,senior,full-time,130000,100,M
2022,senior,full-time,61300,100,M
2022,senior,full-time,160000,0,L
2022,senior,full-time,138600,100,M
2022,senior,full-time,136000,0,M
2022,mid,full-time,58000,0,S
2022,executive,full-time,135000,100,M
2022,senior,full-time,170000,100,M
2022,senior,full-time,123000,100,M
2022,senior,full-time,189650,0,M
2022,senior,full-time,164996,0,M
2022,mid,full-time,54957,0,M
2022,mid,full-time,54957,0,M
2022,executive,full-time,118187,100,S
2022,senior,full-time,132000,0,M
2022,senior,full-time,165400,100,M
2022,senior,full-time,208775,100,M
2022,senior,full-time,147800,100,M
2022,senior,full-time,136994,100,M
2022,senior,full-time,101570,100,M
2022,senior,full-time,128875,100,M
2022,senior,full-time,93700,100,M
2022,executive,full-time,79039,50,L
2022,senior,full-time,132320,100,M
2022,entry,full-time,37300,100,L
2022,senior,full-time,164000,0,M
2022,senior,full-time,155000,100,M
2022,mid,full-time,124333,0,M
2022,mid,full-time,98158,0,M
2022,mid,full-time,120000,0,M
2022,senior,full-time,112900,100,M
2022,senior,full-time,90320,100,M
2022,senior,full-time,145000,100,M
2022,senior,full-time,105400,100,M
2022,mid,full-time,87932,100,M
2022,mid,full-time,117789,0,M
2022,senior,full-time,215300,100,L
2022,senior,full-time,158200,100,L
2022,senior,full-time,209100,100,L
2022,senior,full-time,154600,100,L
2022,senior,full-time,115934,0,M
2022,senior,full-time,81666,0,M
2022,senior,full-time,175000,100,M
2022,mid,full-time,98158,0,M
2022,mid,full-time,58000,0,S
2022,senior,full-time,183600,100,L
2022,mid,full-time,52351,100,M
2022,senior,full-time,180000,100,M
2022,mid,full-time,71982,0,M
2022,mid,full-time,45807,0,M
2022,mid,full-time,65949,100,M
2022,mid,full-time,49461,100,M
2022,mid,full-time,78526,100,M
2022,mid,full-time,58894,100,M
2022,senior,full-time,260000,100,M
2022,senior,full-time,60000,100,L
2022,mid,full-time,63900,0,M
2022,mid,full-time,160000,100,L
2022,mid,full-time,112300,100,L
2022,mid,full-time,241000,100,M
2022,mid,full-time,159000,100,M
2022,senior,full-time,180000,0,M
2022,senior,full-time,80000,0,M
2022,mid,full-time,82900,0,M
2022,senior,full-time,100800,100,L
2022,mid,full-time,49461,100,M
2022,senior,full-time,140400,0,L
2022,mid,full-time,39263,100,M
2022,mid,full-time,43966,100,M
2022,mid,full-time,32974,100,M
2022,mid,full-time,87932,100,M
2022,mid,full-time,76940,100,M
2022,mid,full-time,104702,100,M
2022,mid,full-time,91614,100,M
2022,mid,full-time,65949,100,M
2022,mid,full-time,87932,100,M
2022,senior,full-time,189650,0,M
2022,senior,full-time,164996,0,M
2022,mid,full-time,43966,100,M
2022,mid,full-time,32974,100,M
2022,mid,full-time,98158,100,M
2022,mid,full-time,78526,100,M
2022,senior,full-time,215300,0,L
2022,mid,full-time,76940,100,M
2022,senior,full-time,209100,100,L
2022,senior,full-time,154600,100,L
2022,senior,full-time,180000,100,M
2022,entry,full-time,21983,100,L
2022,senior,full-time,80000,100,M
2022,mid,full-time,78791,100,M
2022,executive,full-time,196979,50,L
2022,mid,full-time,120000,100,S
2022,entry,full-time,125000,0,M
2022,mid,full-time,37236,50,L
2022,senior,full-time,105000,100,M
2022,senior,full-time,87932,0,M
2022,mid,full-time,18442,100,M
2022,mid,full-time,31615,100,L
2022,mid,full-time,58255,50,L
2022,entry,full-time,100000,50,L
2022,mid,part-time,54957,50,L
2022,entry,full-time,18442,100,M
2022,senior,full-time,162674,100,M
2022,entry,full-time,120000,100,M
2022,senior,full-time,144000,50,L
2022,senior,full-time,104890,100,M
2022,senior,full-time,100000,100,M
2022,senior,full-time,140000,100,M
2022,mid,full-time,135000,100,M
2022,mid,full-time,50000,100,M
2022,senior,full-time,220000,100,M
2022,senior,full-time,140000,100,M
2022,mid,full-time,183228,0,M
2022,mid,full-time,91614,0,M
2022,senior,full-time,185100,100,M
2022,senior,full-time,220000,100,M
2022,mid,full-time,200000,100,M
2022,mid,full-time,120000,100,M
2022,senior,full-time,120000,100,S
2022,senior,full-time,65000,100,S
2022,executive,full-time,324000,100,M
2022,executive,full-time,216000,100,M
2022,senior,full-time,210000,100,M
2022,senior,full-time,120000,100,M
2022,senior,full-time,230000,100,M
2022,entry,part-time,100000,50,M
2022,mid,flexible,100000,100,M
2022,entry,contract,31875,100,M
2022,senior,full-time,200000,100,M
2022,mid,full-time,75000,100,S
2022,mid,full-time,35590,100,L
2022,senior,full-time,78791,100,M
2022,senior,full-time,100000,100,M
2022,mid,full-time,153000,50,M
2022,entry,full-time,58035,100,M
2022,senior,full-time,165000,100,M
2022,senior,full-time,93427,50,L
2022,entry,full-time,52396,100,L
2022,senior,full-time,62651,100,L
2022,mid,full-time,32974,100,S
2022,entry,full-time,40000,100,L
2022,mid,full-time,87425,100,L
2022,senior,full-time,115000,100,M
2022,entry,full-time,86703,50,M
2022,mid,full-time,75000,100,L
2022,mid,full-time,64849,0,L
2022,entry,full-time,120000,100,L
2022,mid,full-time,157000,100,L
2022,entry,full-time,150000,100,S
2022,mid,full-time,70912,50,L
2022,entry,full-time,65000,100,S
2022,senior,full-time,71444,100,S
2022,entry,full-time,20000,0,M
2022,mid,full-time,48000,100,S
2022,senior,full-time,152500,100,M
2022,mid,full-time,68147,100,M
2022,mid,full-time,122346,0,L
2022,senior,full-time,380000,100,L
2022,mid,full-time,69336,100,M
2022,entry,full-time,10000,100,M
2022,mid,full-time,20000,100,S
2022,senior,full-time,405000,100,L
2022,mid,full-time,135000,100,L
2022,senior,full-time,177000,100,L
2022,mid,full-time,78000,100,M
2022,senior,full-time,135000,100,M
2022,senior,full-time,100000,100,M
2022,senior,full-time,90320,100,M
2022,mid,full-time,85000,0,M
2022,mid,full-time,75000,0,M
2022,senior,full-time,214000,100,M
2022,senior,full-time,192600,100,M
2022,senior,full-time,266400,100,M
2022,senior,full-time,213120,100,M
2022,senior,full-time,112900,100,M
2022,senior,full-time,155000,100,M
2022,mid,full-time,141300,0,M
2022,mid,full-time,102100,0,M
2022,senior,full-time,115934,100,M
2022,senior,full-time,81666,100,M
2022,mid,full-time,206699,0,M
2022,mid,full-time,99100,0,M
2022,senior,full-time,130000,100,M
2022,senior,full-time,115000,100,M
2022,senior,full-time,110500,100,M
2022,senior,full-time,130000,100,M
2022,senior,full-time,99050,100,M
2022,senior,full-time,160000,100,M
2022,senior,full-time,205300,0,L
2022,senior,full-time,140400,0,L
2022,senior,full-time,176000,100,M
2022,senior,full-time,144000,100,M
2022,senior,full-time,200100,100,M
2022,senior,full-time,160000,100,M
2022,senior,full-time,145000,100,M
2022,senior,full-time,70500,0,M
2022,senior,full-time,205300,0,M
2022,senior,full-time,140400,0,M
2022,senior,full-time,205300,0,M
2022,senior,full-time,184700,0,M
2022,senior,full-time,175100,100,M
2022,senior,full-time,140250,100,M
2022,senior,full-time,116150,100,M
2022,senior,full-time,54000,0,M
2022,senior,full-time,170000,100,M
2022,mid,full-time,65438,0,M
2022,senior,full-time,80000,100,M
2022,senior,full-time,140000,100,M
2022,senior,full-time,210000,100,M
2022,senior,full-time,140000,100,M
2022,senior,full-time,100000,100,M
2022,senior,full-time,69000,100,M
2022,senior,full-time,210000,100,M
2022,senior,full-time,140000,100,M
2022,senior,full-time,210000,100,M
2022,senior,full-time,150075,100,M
2022,senior,full-time,100000,100,M
2022,senior,full-time,25000,100,M
2022,senior,full-time,126500,100,M
2022,senior,full-time,106260,100,M
2022,senior,full-time,220110,100,M
2022,senior,full-time,160080,100,M
2022,senior,full-time,105000,100,M
2022,senior,full-time,110925,100,M
2022,mid,full-time,45807,0,M
2022,senior,full-time,140000,100,M
2022,senior,full-time,99000,0,M
2022,senior,full-time,60000,100,M
2022,senior,full-time,192564,100,M
2022,senior,full-time,144854,100,M
2022,senior,full-time,230000,100,M
2022,senior,full-time,150000,100,M
2022,senior,full-time,150260,100,M
2022,senior,full-time,109280,100,M
2022,senior,full-time,210000,100,M
2022,senior,full-time,170000,100,M
2022,mid,full-time,160000,100,M
2022,mid,full-time,130000,100,M
2022,entry,full-time,67000,0,M
2022,entry,full-time,52000,0,M
2022,senior,full-time,154000,100,M
2022,senior,full-time,126000,100,M
2022,senior,full-time,129000,0,M
2022,senior,full-time,150000,100,M
2022,mid,full-time,200000,100,L
